('4:00\n', '1\n')
('3:59\n', '1\n')
('3:58\n', '1\n')
('3:57\n', '1\n')
('3:56\n', '1\n')
('3:55\n', '1\n')
('3:52\n', '1\n')
(':20.9\n', '1\n')
(':19.9\n', '1\n')
('18.9\n', '1\n')
('117.9\n', '1\n')
(':16.9\n', '1\n')
(':15.9\n', '1\n')
(':15.0\n', '1\n')
('7:23\n', '2\n')
('7:22\n', '2\n')
('7:21\n', '2\n')
('7:20\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('1:17\n', '2\n')
('4:15\n', '2\n')
('4:14\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('2:15\n', '2\n')
('2:14\n', '2\n')
('2:13\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:10\n', '2\n')
(':37.8\n', '2\n')
(':36.8\n', '2\n')
(':35.8\n', '2\n')
(':34.8\n', '2\n')
(':34.1\n', '2\n')
(':34.1\n', '2\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('8:23\n', '3\n')
('8:22\n', '3\n')
('8:21\n', '3\n')
('8:21\n', '3\n')
('3:42\n', '3\n')
('3:41\n', '3\n')
('3:40\n', '3\n')
('3:39\n', '3\n')
('3:38\n', '3\n')
('3:37\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('11:36\n', '4\n')
('11:35\n', '4\n')
('11:34\n', '4\n')
('11:33\n', '4\n')
('11:32\n', '4\n')
('11:31\n', '4\n')
('11:30\n', '4\n')
('9:18\n', '4\n')
('9:17\n', '4\n')
('9:16\n', '4\n')
('9:15\n', '4\n')
('9:14\n', '4\n')
('9:13\n', '4\n')
('9:12\n', '4\n')
('6:47\n', '4\n')
('6:46\n', '4\n')
('6:45\n', '4\n')
('6:44\n', '4\n')
('6:43\n', '4\n')
('6:42\n', '4\n')
('6:41\n', '4\n')
('1:07\n', '4\n')
('1:06\n', '4\n')
('1:05\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:02\n', '4\n')
('1:01\n', '4\n')
