('7:30\n', '11\n')
('1:29\n', '11\n')
('1.28\n', '11\n')
('1:21\n', '11\n')
('71:26\n', '11\n')
('1:25\n', '11\n')
('1.24\n', '11\n')
('1:23\n', '11\n')
('1:22\n', '11\n')
('1:21\n', '11\n')
('4:01\n', '11\n')
('4:00\n', '11\n')
('3:59\n', '11\n')
('3:58\n', '11\n')
('3:57\n', '11\n')
('3:56\n', '11\n')
('3:55\n', '11\n')
('3:54\n', '11\n')
('3:53\n', '11\n')
('1:43\n', '11\n')
('1:42\n', '11\n')
('1:41\n', '11\n')
('1:40\n', '11\n')
('1:39\n', '11\n')
('1:38\n', '11\n')
('1:35\n', '11\n')
('1:34\n', '11\n')
('10:26\n', '2\n')
('10:25\n', '2\n')
('10:24\n', '2\n')
('10:23\n', '2\n')
('10:22\n', '2\n')
('9:15\n', '2\n')
('9:14\n', '2\n')
('9:13\n', '2\n')
('9:12\n', '2\n')
('9:11\n', '2\n')
('7:15\n', '2\n')
('7:14\n', '2\n')
('7:13\n', '2\n')
('7:12\n', '2\n')
('7:11\n', '2\n')
('7:10\n', '2\n')
('7:09\n', '2\n')
('7:08\n', '2\n')
('7:07\n', '2\n')
('7:07\n', '2\n')
('7:07\n', '2\n')
('1:07\n', '2\n')
('1:54\n', '2\n')
('1:53\n', '2\n')
('1:52\n', '2\n')
('1:51\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('9:00\n', '3\n')
('8:59\n', '3\n')
('8:58\n', '3\n')
('8:57\n', '3\n')
('8:56\n', '3\n')
('8:55\n', '3\n')
('8:55\n', '3\n')
('8:55\n', '3\n')
('8:55\n', '3\n')
('8:55\n', '3\n')
('6:38\n', '3\n')
('6:37\n', '3\n')
('6:36\n', '3\n')
('6:35\n', '3\n')
('6:34\n', '3\n')
('6:31\n', '3\n')
('6:30\n', '3\n')
('1:34\n', '3\n')
('1:33\n', '3\n')
('1:32\n', '3\n')
('1:31\n', '3\n')
('1:30\n', '3\n')
('1:29\n', '3\n')
('1:28\n', '3\n')
('1:27\n', '3\n')
('1:26\n', '3\n')
('..\n', '1\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:24\n', '4\n')
('10:23\n', '4\n')
