('7:30\n', '1\n')
('1:29\n', '1\n')
('7:28\n', '1\n')
('1:27\n', '1\n')
('7:26\n', '1\n')
('1:25\n', '1\n')
('1:24\n', '1\n')
('71:23\n', '1\n')
('4:32\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '1\n')
('4:48\n', '1\n')
('3:50\n', '1\n')
('3:49\n', '1\n')
('3:48\n', '1\n')
('3:48\n', '1\n')
('3:47\n', '1\n')
('3:07\n', '1\n')
('3:06\n', '1\n')
('3:05\n', '1\n')
('3:04\n', '1\n')
('3:03\n', '1\n')
('3:02\n', '1\n')
('3:01\n', '1\n')
('3:01\n', '1\n')
('3:01\n', '1\n')
('10:40\n', '2\n')
('10:39\n', '2\n')
('10:38\n', '2\n')
('10:37\n', '2\n')
('10:36\n', '2\n')
('10:35\n', '2\n')
('8:11\n', '2\n')
('8:10\n', '2\n')
('8:07\n', '2\n')
('8:04\n', '2\n')
('8:03\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:54\n', '2\n')
('2:20\n', '2\n')
('2:19\n', '2\n')
('2:18\n', '2\n')
('2:17\n', '2\n')
('2:16\n', '2\n')
('2:15\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('9:01\n', '3\n')
('8:59\n', '3\n')
('8:58\n', '3\n')
('8:57\n', '3\n')
('8:56\n', '3\n')
('8:55\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('3:30\n', '3\n')
('3:29\n', '3\n')
('3:28\n', '3\n')
('3:27\n', '3\n')
('3:26\n', '3\n')
('3:23\n', '3\n')
('3:21\n', '3\n')
('3:20\n', '3\n')
('0:03\n', '3\n')
('0:02\n', '3\n')
('0:01\n', '3\n')
('0:00\n', '3\n')
('0:00\n', '3\n')
('8:07\n', '4\n')
('8:05\n', '4\n')
('8:04\n', '4\n')
('8:03\n', '4\n')
('8:02\n', '4\n')
('8:01\n', '4\n')
('7:59\n', '4\n')
('7:58\n', '4\n')
('5:26\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('.\n', '4\n')
