('0.00\n', '1\n')
('0.94\n', '11\n')
('0.99\n', '1\n')
('0.99\n', '11\n')
('9.40\n', '1\n')
('9.899\n', '11\n')
('9.94\n', '1\n')
('1:94\n', '1\n')
('1.1\n', '1\n')
('1.68\n', '1\n')
('1.49\n', '1\n')
('041\n', '2\n')
('0.4\n', '23\n')
('.\n', '3\n')
('1:09\n', '1\n')
('9:19\n', '1\n')
('9.1\n', '1\n')
('9.11\n', '1\n')
('.0\n', '1\n')
('.9\n', '1\n')
