('7:39\n', '1\n')
('7:38\n', '1\n')
('7:37\n', '1\n')
('7:36\n', '1\n')
('5:31\n', '1\n')
('5:30\n', '1\n')
('5:30\n', '1\n')
('5:29\n', '1\n')
('5:28\n', '1\n')
('527\n', '1\n')
('5:26\n', '1\n')
('5:25\n', '1\n')
('40.7\n', '1\n')
('39.7\n', '1\n')
('38.7\n', '1\n')
('37.8\n', '1\n')
('36.8\n', '1\n')
('358\n', '1\n')
('8:09\n', '2\n')
('8:08\n', '2\n')
('8:.07\n', '2\n')
('8:06\n', '2\n')
('8:05\n', '2\n')
('8:04\n', '2\n')
('8:.03\n', '2\n')
('8:00\n', '2\n')
('7:59\n', '2\n')
('6:01\n', '2\n')
('6:00\n', '2\n')
('5:50\n', '2\n')
('5:58\n', '2\n')
('5:57\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:29\n', '2\n')
('1:28\n', '2\n')
('1:27\n', '2\n')
(':46.0\n', '2\n')
(':45.0\n', '2\n')
(':44.0\n', '2\n')
(':43.0\n', '2\n')
(':42.0\n', '2\n')
(':41.1\n', '2\n')
(':40.3\n', '2\n')
('11:08\n', '3\n')
('11:07\n', '3\n')
('11:06\n', '3\n')
('11:05\n', '3\n')
('11:04\n', '3\n')
('11:03\n', '3\n')
('10:30\n', '3\n')
('10:29\n', '3\n')
('10:28\n', '3\n')
('10:27\n', '3\n')
('10:26\n', '3\n')
('10:25\n', '3\n')
('7:31\n', '3\n')
('7:30\n', '3\n')
('7:29\n', '3\n')
('7:28\n', '3\n')
('7:27\n', '3\n')
('5:15\n', '3\n')
('5:14\n', '3\n')
('5:13\n', '3\n')
('5:12\n', '3\n')
('5:11\n', '3\n')
('5:10\n', '3\n')
('5:10\n', '3\n')
('1:11\n', '3\n')
('1:10\n', '3\n')
('1:09\n', '3\n')
('1:08\n', '3\n')
('1:07\n', '3\n')
('1:06\n', '3\n')
('1:05\n', '3\n')
('1:05\n', '3\n')
('1:03\n', '3\n')
('1:02\n', '3\n')
('2:04\n', '4\n')
('2:03\n', '4\n')
('2:02\n', '4\n')
('2:01\n', '4\n')
('2:00\n', '4\n')
('1:59\n', '4\n')
('1:59\n', '4\n')
(':45.1\n', '4\n')
('44.1\n', '4\n')
('43.1\n', '4\n')
('42.1\n', '4\n')
('41.3\n', '4\n')
('45.3\n', '4\n')
('35.8\n', '4\n')
('34.8\n', '4\n')
(':33.8\n', '4\n')
(':32.8\n', '4\n')
('32.2\n', '4\n')
('3.2\n', '4\n')
('01.8\n', '4\n')
('01.8\n', '4\n')
(':01.8\n', '4\n')
(':01.3\n', '4\n')
(':00.3\n', '4\n')
(':00.0\n', '4\n')
(':00.0\n', '4\n')
