Channel/Home Team,Game
TNT,MIL @ MIA
NYK,CHA @ NYK
MIN,OKC @ MIN
DAL,HOU @ DAL
TNT,GSW @ SAC
NBA TV,LAL @ DET
ORL,WAS @ ORL
TOR,PHX @ TOR
MEM,UTA @ MEM
NOP,PHI @ NOP
DEN,HOU @ DEN
ClipperVision,LAC @ SAC
CLE,POR @ CLE
BKN,CHA @ BKN
NBA TV,IND @ MIA
NYK,DET @ NYK
CHI,MIL @ CHI
MIN,UTA @ MIN
OKC,LAL @ OKC
SAS,ATL @ SAS
ClipperVision,LAC @ GSW
ORL,WAS @ ORL
BOS,PHI @ BOS
TOR,NYK @ TOR
ESPN,MEM @ DAL
NOP,SAS @ NOP
ESPN,DEN @ PHX
ClipperVision,GSW @ LAC
CHA,MIN @ CHA
BKN,ORL @ BKN
DET,CLE @ DET
MIA,IND @ MIA
CHI,NOP @ CHI
MIL,ATL @ MIL
DAL,OKC @ DAL
PHX,MEM @ PHX
UTA,POR @ UTA
NBA TV,DEN @ SAC
LAL,HOU @ LAL
TNT,BOS @ IND
TNT,NOP @ SAC
TNT,NYK @ MIL
TNT,PHX @ LAL
CLE,ORL @ CLE
DET,MEM @ DET
WAS,PHI @ WAS
TOR,MIA @ TOR
ATL,BKN @ ATL
ESPN,SAS @ MIN
CHI,CHA @ CHI
HOU,OKC @ HOU
DAL,UTA @ DAL
GSW,POR @ GSW
ESPN,DEN @ LAC
ESPN,IND @ MIL
TNT,NOP @ LAL
CHA,TOR @ CHA
ORL,DET @ ORL
PHI,ATL @ PHI
BKN,WAS @ BKN
BOS,NYK @ BOS
MIA,CLE @ MIA
MEM,MIN @ MEM
OKC,GSW @ OKC
SAS,CHI @ SAS
DEN,HOU @ DEN
PHX,SAC @ PHX
ESPN,LAC @ UTA
POR,DAL @ POR
CHA,MIA @ CHA
DET,IND @ DET
ORL,CLE @ ORL
PHI,WAS @ PHI
ATL,DEN @ ATL
NYK,TOR @ NYK
HOU,SAS @ HOU
NBA TV,DAL @ MEM
MIL,CHI @ MIL
NOP,MIN @ NOP
OKC,UTA @ OKC
SAC,BKN @ SAC
LAC,POR @ LAC
BOS,CLE @ BOS
TNT,LAL @ DAL
CHI,DEN @ CHI
TNT,GSW @ PHX
LAC,SAC @ LAC
DET,PHI @ DET
WAS,NOP @ WAS
MIA,CHA @ MIA
TOR,ATL @ TOR
HOU,MEM @ HOU
MIL,IND @ MIL
NBA TV,LAL @ SAS
PHX,BKN @ PHX
UTA,NYK @ UTA
NBA TV,CLE @ BOS
MIA,CHI @ MIA
DAL,MIN @ DAL
DEN,BKN @ DEN
POR,UTA @ POR
SAC,OKC @ SAC
NBA TV,GSW @ LAC
CHA,NOP @ CHA
PHI,DET @ PHI
WAS,IND @ WAS
BOS,ORL @ BOS
TOR,ATL @ TOR
ESPN,LAL @ SAS
MEM,HOU @ MEM
ESPN,NYK @ PHX
MIL,DET @ MIL
CHA,PHI @ CHA
NBA TV,ATL @ CLE
MIA,CHI @ MIA
MIN,IND @ MIN
GSW,BKN @ GSW
DEN,OKC @ DEN
POR,DAL @ POR
NBA TV,UTA @ SAC
LAC,NYK @ LAC
BOS,ORL @ BOS
SAS,NOP @ SAS
MIL,HOU @ MIL
PHX,WAS @ PHX
POR,GSW @ POR
CLE,HOU @ CLE
IND,LAC @ IND
PHI,CHI @ PHI
ATL,DET @ ATL
MIA,MIN @ MIA
TOR,CHA @ TOR
OKC,MEM @ OKC
NBA TV,DAL @ DEN
UTA,BKN @ UTA
SAC,WAS @ SAC
LAL,NYK @ LAL
TNT,MEM @ NOP
MIL,SAS @ MIL
TNT,BOS @ GSW
POR,PHX @ POR
CLE,UTA @ CLE
IND,CHA @ IND
ORL,MIA @ ORL
NBA TV,MIN @ PHI
BKN,NYK @ BKN
TOR,DEN @ TOR
CHI,LAL @ CHI
HOU,ATL @ HOU
DAL,LAC @ DAL
NBA TV,BOS @ SAC
NBA TV,UTA @ DET
CLE,NOP @ CLE
CHI,SAS @ CHI
MEM,IND @ MEM
MIL,ORL @ MIL
OKC,LAC @ OKC
MIN,LAL @ MIN
NBA TV,WAS @ POR
PHI,TOR @ PHI
NBA TV,DEN @ BKN
MIA,ATL @ MIA
HOU,DAL @ HOU
ESPN,WAS @ GSW
SAC,PHX @ SAC
NBA TV,MIL @ NYK
LAC,BOS @ LAC
CHA,DEN @ CHA
IND,ORL @ IND
NOP,HOU @ NOP
ATL,MEM @ ATL
