Channel/Home Team,Game
TNT,DAL @ SAC
CHA,CLE @ CHA
ORL,GSW @ ORL
WAS,BKN @ WAS
ATL,POR @ ATL
ESPN,LAC @ PHI
TOR,NYK @ TOR
CHI,IND @ CHI
MEM,LAL @ MEM
MIN,DET @ MIN
OKC,HOU @ OKC
UTA,SAS @ UTA
ESPN,PHX @ DEN
ATL,BOS @ ATL
NBA TV,MIL @ NOP
CHA,GSW @ CHA
IND,LAL @ IND
ORL,LAC @ ORL
WAS,DET @ WAS
BKN,CHI @ BKN
NBA TV,PHI @ CLE
MIA,POR @ MIA
OKC,PHX @ OKC
SAS,NYK @ SAS
DEN,MIN @ DEN
UTA,HOU @ UTA
NBA TV,DAL @ SAC
NBA TV,BOS @ NOP
ORL,MEM @ ORL
NBA TV,MIL @ ATL
NBA TV,CLE @ DEN
BKN,LAL @ BKN
CHA,LAC @ CHA
TOR,PHI @ TOR
WAS,MIA @ WAS
NYK,OKC @ NYK
HOU,DAL @ HOU
MIN,CHI @ MIN
NBA TV,GSW @ SAS
SAC,UTA @ SAC
NBA TV,BOS @ CHA
DET,MEM @ DET
IND,BKN @ IND
ORL,POR @ ORL
CHI,ATL @ CHI
NOP,PHX @ NOP
PHI,OKC @ PHI
TOR,LAL @ TOR
WAS,MIL @ WAS
MIA,NYK @ MIA
MIN,HOU @ MIN
DEN,SAS @ DEN
UTA,CLE @ UTA
TNT,LAC @ SAC
TNT,DAL @ GSW
CHA,POR @ CHA
WAS,LAL @ WAS
ATL,DET @ ATL
BOS,OKC @ BOS
BKN,IND @ BKN
ESPN,MEM @ MIL
MIN,TOR @ MIN
NOP,ORL @ NOP
ESPN,CLE @ PHX
TNT,PHI @ MIA
NYK,SAC @ NYK
HOU,GSW @ HOU
TNT,DEN @ LAC
CHA,ORL @ CHA
IND,OKC @ IND
WAS,POR @ WAS
NBA TV,SAC @ BOS
CHI,NYK @ CHI
HOU,MIA @ HOU
MEM,DET @ MEM
MIL,TOR @ MIL
NOP,SAS @ NOP
DAL,GSW @ DAL
DAL,ATL @ DAL
NBA TV,MIN @ PHX
LAC,UTA @ LAC
LAL,CLE @ LAL
BKN,DET @ BKN
MEM,PHI @ MEM
DEN,ATL @ DEN
NBA TV,HOU @ DAL
LAC,CLE @ LAC
IND,MIA @ IND
BOS,POR @ BOS
CHA,OKC @ CHA
ORL,CHI @ ORL
TOR,WAS @ TOR
PHX,NOP @ PHX
NBA TV,NYK @ MIL
SAS,PHI @ SAS
BKN,SAC @ BKN
GSW,UTA @ GSW
NBA TV,MIN @ LAL
CHA,DAL @ CHA
PHI,DET @ PHI
TOR,IND @ TOR
ATL,MIA @ ATL
TNT,BOS @ MIL
CHI,NYK @ CHI
HOU,ORL @ HOU
MEM,SAS @ MEM
MIN,WAS @ MIN
OKC,SAC @ OKC
UTA,DEN @ UTA
TNT,GSW @ LAL
PHX,LAC @ PHX
POR,NOP @ POR
CLE,MEM @ CLE
ATL,CHA @ ATL
BKN,TOR @ BKN
ESPN,DAL @ MIA
MIL,ORL @ MIL
OKC,SAS @ OKC
ESPN,MIN @ DEN
LAC,PHX @ LAC
DET,CHI @ DET
TNT,NYK @ BOS
UTA,HOU @ UTA
POR,GSW @ POR
TNT,NOP @ SAC
PHI,ORL @ PHI
WAS,CHI @ WAS
BOS,CHA @ BOS
CLE,IND @ CLE
NYK,BKN @ NYK
MIA,TOR @ MIA
NBA TV,LAL @ MEM
OKC,MIL @ OKC
DAL,DET @ DAL
GSW,NOP @ GSW
POR,HOU @ POR
LAC,UTA @ LAC
NBA TV,PHX @ SAC
BOS,WAS @ BOS
CLE,CHA @ CLE
IND,ATL @ IND
MIA,TOR @ MIA
NYK,CHI @ NYK
ORL,MIL @ ORL
PHI,BKN @ PHI
MEM,DEN @ MEM
MIN,PHX @ MIN
NOP,LAL @ NOP
OKC,DAL @ OKC
SAS,DET @ SAS
GSW,UTA @ GSW
LAC,HOU @ LAC
SAC,POR @ SAC
